0.3799999, 0, 0, 20.90742, 3.724014, 0, 608.2542, -1780.662, -5.741346, 0.01966487, 0.1582343, 34.13833, 3.276824, 2.807283, 58.27727
 
0.3899999, -0.1167195, 0, 21.45651, 3.731926, 1.138260795162001086418, 646.9278, -1781.025, -5.741346, 0.01966487, 0.1582343, 35.20746, 3.276824, 2.806968, 58.29223
 
0.3999999, -0.1200081, -0.001167195, 22.00454, 3.740077, 1.1061673287086355240553446009, 686.6818, -1781.387, -5.741346, 0.01966487, 0.1582343, 36.2737, 3.276824, 2.806653, 58.30719
 
0.4099999, -0.1232589, -0.002367276, 22.53731, 3.733355, 1.0758358156492456926386553991, 727.5761, -1781.75, -5.741346, 0.01966487, 0.1582343, 37.33884, 3.276824, 2.806338, 58.32216
 
0.4199999, -0.1264489, -0.003599865, 23.06878, 3.726625, 1.0470421828079390443716553991, 769.5344, -1782.113, -5.741346, 0.01966487, 0.1582343, 38.40107, 3.276824, 2.806022, 58.33712
 
0.4299999, -0.1295676, -0.004864354, 23.59233, 3.714209, 1.019688407742771567815, 812.4708, -1782.476, -5.741346, 0.01966487, 0.1582343, 39.45855, 3.276824, 2.805707, 58.35209
 
0.4399998, -0.1326404, -0.00616003, 24.1183, 3.704618, 0.993685810775798717701, 856.5228, -1782.84, -5.741346, 0.01966487, 0.1582343, 40.5149, 3.276824, 2.805392, 58.36705
 
0.4499998, -0.1356598, -0.007486434, 24.65373, 3.704011, 0.9688158324934919778313446009, 901.7628, -1783.204, -5.741346, 0.01966487, 0.1582343, 41.5719, 3.276824, 2.805076, 58.38202
 
0.4599998, -0.1386266, -0.008843032, 25.19603, 3.708848, 0.944937259315428145066, 948.2755, -1783.567, -5.741346, 0.01966487, 0.1582343, 42.6314, 3.276824, 2.804761, 58.39698
 
0.4699998, -0.1415056, -0.0102293, 25.73529, 3.711085, 0.921921130466418019541, 995.9016, -1783.932, -5.741346, 0.01966487, 0.1582343, 43.68973, 3.276824, 2.804446, 58.41194
 
0.4799998, -0.1442816, -0.01164435, 26.26042, 3.701464, 0.89977250022862594992, 1044.467, -1784.296, -5.741346, 0.01966487, 0.1582343, 44.74326, 3.276824, 2.804131, 58.42691
 
0.4899998, -0.1470172, -0.01308717, 26.79686, 3.700849, 0.87848478271923372003, 1094.389, -1784.661, -5.741346, 0.01966487, 0.1582343, 45.80104, 3.276824, 2.803815, 58.44187
 
0.4999998, -0.1496282, -0.01455734, 27.33455, 3.702842, 0.857809552311935594229, 1145.326, -1785.026, -5.741346, 0.01966487, 0.1582343, 46.85582, 3.276824, 2.8035, 58.45683
 
0.5099998, -0.1521253, -0.01605362, 27.85545, 3.690346, 0.837824920640156927127, 1197.176, -1785.391, -5.741346, 0.01966487, 0.1582343, 47.90575, 3.276824, 2.803185, 58.4718
 
0.5199998, -0.1545397, -0.01757488, 28.3825, 3.683539, 0.818501787291445135634, 1250.202, -1785.757, -5.741346, 0.01966487, 0.1582343, 48.9563, 3.276824, 2.80287, 58.48676
 
0.5299998, -0.1568552, -0.01912028, 28.92281, 3.688611, 0.799689289601243407415, 1304.501, -1786.122, -5.741346, 0.01966487, 0.1582343, 50.00931, 3.276824, 2.802555, 58.50173
 
